Gene Name Interactor A	Gene Name Interactor B
ALDH1A1	ALDH1A1
ITGA7	CHRNA1
PPP1R9A	ACTG1
SRGN	CD44
GRB7	ERBB2
PAK1	ERBB2
DLG4	ERBB2
PIK3R2	ERBB2
PTPN18	ERBB2
ERBIN	ERBB2
SMURF2	ARHGAP5
NF2	ERBB2
CD82	ERBB2
ERRFI1	ERBB2
MMP7	CD44
TOB1	ERBB2
MUC4	ERBB2
PICK1	ERBB2
SMURF2	TXNIP
DDX20	ETV3
TLE1	FOXG1
TLE3	FOXG1
HDAC1	FOXG1
SMAD1	FOXG1
KDM5B	FOXG1
CD4	CD44
SMURF2	DAB2
CBL	VAV1
PLCG1	VAV1
PRLR	VAV1
TYK2	VAV1
SMURF2	DGCR2
MAPK1	VAV1
VAV1	RHOG
HRAS	VAV1
BTK	VAV1
TGFBR1	CD44
SYK	VAV1
SHB	VAV1
PRKCQ	VAV1
TEC	VAV1
IL6ST	VAV1
HNRNPK	VAV1
SLA	VAV1
PTK2B	VAV1
EZH2	VAV1
LCP2	VAV1
TGFBR2	CD44
ZYX	VAV1
SH3BP2	VAV1
SIAH2	VAV1
LAT	VAV1
ARHGDIB	VAV1
SOCS1	VAV1
AOC3	VAV1
NEK3	VAV1
CBLB	VAV1
BLNK	VAV1
VAV2	CD44
RACGAP1	VAV1
DOCK2	VAV1
SMURF2	ABRAXAS2
SMURF2	ACBD3
YES1	YES1
PECAM1	YES1
CD36	YES1
RPL10	YES1
MST1R	YES1
ERBB4	CD44
TYRO3	YES1
ADAM12	YES1
NPHS1	YES1
OCLN	YES1
DLG4	YES1
CD2AP	YES1
TRPV4	YES1
SMURF2	SF3A2
GP6	YES1
TP53BP2	YES1
TIAM1	CD44
SP1	REL
ELF1	REL
SMURF2	ACOX3
SMURF2	RNF111
NKRF	REL
TBP	REL
SMURF2	TMEM139
SMURF2	LAPTM5
MAPK8	REL
SMURF2	SNRNP70
DMP1	CD44
PPP4C	REL
NUP155	ZFYVE9
SUMF2	ZFYVE9
ETS2	ZFYVE9
SMAD7	ZNF107
SMAD7	ZBTB44
SMAD7	TTF2
HSPA8	REL
SMAD7	MYOD1
GTF2B	REL
ARHGEF1	CD44
