ei	N CTs	N variants g	N PMIDs Chemicals	Gene	pLI	Gene Full Name	First Ref.	Last Ref.	N Chemicals	N PMIDs	score	N diseases g	My Score	DSI g	DPI g	N variants gda
1.0	0	3	0	PKM	0.96074	pyruvate kinase M1/2	2008	2008	0	1	0.4	7		0.43	0.88	0
1.0	0	503	0	OFD1		OFD1 centriole and centriolar satellite protein	2017	2017	0	1	0.4	35		0.47	0.88	0
1.0	0	1	0	TUBA1B	1.0	tubulin alpha 1b	2008	2008	0	1	0.4	3		0.73	0.67	0
1.0	0	0	0	GAPDH	0.18849	glyceraldehyde-3-phosphate dehydrogenase	2008	2008	0	1	0.4	17		0.46	0.88	0
1.0	0	103	0	OXCT1	0.96473	3-oxoacid CoA-transferase 1	2008	2008	0	1	0.4	3		0.62	0.63	0
1.0	0	4	0	PLEK	0.012213	pleckstrin	2008	2008	0	1	0.4	2		0.59	0.75	0
1.0	0	0	0	PSMA2	0.99994	proteasome 20S subunit alpha 2	2008	2008	0	1	0.4	3		0.62	0.67	0
1.0	0	13	0	RSU1	6.0763E-4	Ras suppressor protein 1	2008	2008	0	1	0.4	2		0.68	0.58	0
1.0	0	125	0	ACTG1	0.45556	actin gamma 1	2008	2008	0	1	0.4	27		0.53	0.88	0
	0	93	0	SERPINF1	1.8885E-8	serpin family F member 1			0	0	0.4	37		0.46	0.88	2
	0	6	0	OPA1-AS1		OPA1 antisense RNA 1			0	0	0.4	12		0.8	0.42	1
	0	0	0	LOC126862586		CDK7 strongly-dependent group 2 enhancer GRCh37_chr17:48273702-48274901			0	0	0.4	13		0.78	0.25	0
	0	0	0	LOC130059892		ATAC-STARR-seq lymphoblastoid active region 11457			0	0	0.4	3		0.9	0.17	0
	0	240	0	OPA1	0.91988	OPA1 mitochondrial dynamin like GTPase			0	0	0.4	42		0.48	0.88	1
